state,,Population,mask_date,mask_in_effect,mask_end_date,stay_at_home_start,stay_at_home_end
AL,Alabama,4934190,16-07-2021,FALSE,09-04-2021,04-04-2020,30-04-2020
AK,Alaska,724357,,FALSE,,28-03-2020,24-04-2020
AZ,Arizona,7520100,,FALSE,,31-03-2020,04-05-2020
AR,Arkansas,3033950,20-07-2020,FALSE,25-03-2021,,
CA,California,39613500,18-06-2020,TRUE,,19-03-2020,08-05-2020
CO,Colorado,5893630,17-07-2021,TRUE,03-05-2021,26-03-2020,27-04-2020
CT,Connecticut,3552820,14-08-2020,TRUE,19-05-2021,23-03-2020,17-06-2020
DE,Delaware,990334,05-01-2021,TRUE,,24-03-2020,08-05-2020
DC,District of Columbia,714153,22-07-2020,TRUE,,01-04-2020,29-05-2020
FL,Florida,21944600,,FALSE,,03-04-2020,05-06-2020
GA,Georgia,10830000,,FALSE,,03-04-2020,04-24-2020
HI,Hawaii,1406430,17-04-2020,TRUE,,25-03-2020,31-05-2020
ID,Idaho,1860120,,FALSE,,25-03-2020,01-05-2020
IL,Illinois,12569300,01-05-2020,TRUE,,21-03-2020,30-05-2020
IN,Indiana,6805660,27-07-2020,FALSE,06-04-2021,24-03-2020,04-05-2020
IA,Iowa,3167970,17-11-2020,FALSE,07-02-2021,,
KS,Kansas,2917220,03-07-2020,FALSE,01-04-2021,30-03-2020,04-05-2020
KY,Kentucky,4480710,10-07-2020,TRUE,30-04-2021,26-03-2020,11-05-2020
LA,Louisiana,4627000,11-07-2020,TRUE,28-04-2021,23-03-2020,05-06-2020
ME,Maine,1354520,01-05-2020,TRUE,,02-04-2020,01-06-2020
MD,Maryland,6065440,15-04-2021,TRUE,,30-03-2020,07-05-2020
MA,Massachusetts,6912240,06-05-2020,TRUE,,24-03-2020,08-06-2020
MI,Michigan,9992430,24-04-2020,TRUE,24-05-2021,24-03-2020,01-06-2020
MN,Minnesota,5706400,25-07-2020,TRUE,,27-03-2020,04-05-2020
MS,Mississippi,2966410,04-08-2020,FALSE,01-10-2020,03-04-2020,25-05-2020
MO,Missouri,6169040,,FALSE,,06-04-2020,03-05-2020
MT,Montana,1085000,,FALSE,,28-03-2020,27-04-2020
NE,Nebraska,1952000,,FALSE,,,
NV,Nevada,3185790,26-06-2020,TRUE,,04-01-2020,01-05-2020
NH,New Hampshire,1372200,20-11-2020,FALSE,15-04-2021,27-03-2020,04-05-2020
NJ,New Jersey,8874520,10-04-2020,TRUE,,21-03-2020,02-05-2020
NM,New Mexico,2105000,16-05-2020,TRUE,,24-03-2020,01-05-2020
NY,New York,19300000,17-04-2020,TRUE,,22-03-2020,15-05-2020
NC,North Carolina,10701000,26-06-2020,TRUE,,30-03-2020,08-05-2020
ND,North Dakota,770026,13-11-2020,FALSE,18-01-2021,,
OH,Ohio,11714600,07-23-2020,TRUE,,03-23-2020,01-05-2020
OK,Oklahoma,3990440,,FALSE,,,
OR,Oregon,4289440,01-07-2020,TRUE,,03-23-2020,15-05-2020
PA,Pennsylvania,12804100,01-07-2020,TRUE,,01-04-2020,01-05-2020
RI,Rhode Island,1061510,08-05-2020,TRUE,05-07-2021,28-03-2020,09-05-2020
SC,South Carolina,5277830,,FALSE,,07-04-2020,20-04-2020
SD,South Dakota,896581,,FALSE,,,
TN,Tennessee,6944260,,FALSE,,31-03-2020,27-04-2020
TX,Texas,29730300,,FALSE,,02-04-2020,18-05-2020
UT,Utah,3310770,09-11-2020,FALSE,10-04-2021,,
VT,Vermont,623251,01-08-2020,TRUE,,25-03-2020,27-04-2020
VA,Virginia,8603980,30-05-2020,TRUE,,30-03-2020,15-05-2020
WA,Washington,7796940,08-06-2020,TRUE,,23-03-2020,05-05-2020
WV,West Virginia,1767860,06-07-2020,TRUE,,24-03-2020,30-04-2020
WI,Wisconsin,5852490,01-08-2020,FALSE,31-03-2021,25-03-2020,01-05-2020
WY,Wyoming,581075,09-12-2020,FALSE,08-01-2021,,
